name,logo
Upwork,https://media.licdn.com/dms/image/v2/D560BAQFHVb6ZSCipCw/company-logo_100_100/company-logo_100_100/0/1727104517379/upwork_logo?e=1737590400&v=beta&t=Qy3wzWMu1ErYtxyhZkEgdMe_f1YMUdPGRe_GywYbXHk
Comcast,https://media.licdn.com/dms/image/v2/D4E0BAQEZqcKKlfKeXQ/company-logo_100_100/company-logo_100_100/0/1710183636200/comcast_logo?e=1737590400&v=beta&t=BErvk2NmNB-2e9VOKJAIR1ir47ixnmZ9dN6Fi_tR4TM
Huawei,https://media.licdn.com/dms/image/v2/C510BAQEtZ01_ey5nIA/company-logo_100_100/company-logo_100_100/0/1630625880354/huawei_logo?e=1737590400&v=beta&t=kz_dWDLCfzkPpVCexSpv50Ef6wH8NO6cFpGPQZ9GDrQ
Harvard Business Review,https://media.licdn.com/dms/image/v2/C560BAQEulgTy-dwxxg/company-logo_100_100/company-logo_100_100/0/1630574871145/harvard_business_review_logo?e=1737590400&v=beta&t=S2MR7u9dRLCeh8-wZkz_rPbihGUJ_kquNTvN7BBO-F4
Generative AI,https://media.licdn.com/dms/image/v2/D4D0BAQFH3XFaatOOPA/company-logo_100_100/company-logo_100_100/0/1712666342227/genai_works_logo?e=1737590400&v=beta&t=ka-mgPHlLUYJw33juFk9cd3ym8XuDK-x-TJMhPpVqns
Bloomberg News,https://media.licdn.com/dms/image/v2/C560BAQEYf7fE2rX5_A/company-logo_100_100/company-logo_100_100/0/1677880180843/bloomberg_news_logo?e=1737590400&v=beta&t=eOssoHEncGUm-LYoDsQEc9eb_17FxSjuWM0sx3PWEVw
Google Cloud,https://media.licdn.com/dms/image/v2/C560BAQFIFLR7jxm2lg/company-logo_100_100/company-logo_100_100/0/1630644546845/google_cloud_logo?e=1737590400&v=beta&t=BMOxAJ3v0DLPRwbGjftw3kKCi8l0q96fGw2abWW7QuA
Fiverr,https://media.licdn.com/dms/image/v2/C4D0BAQFHz9agyy675A/company-logo_100_100/company-logo_100_100/0/1635337455615/fiverr_com_logo?e=1737590400&v=beta&t=AFjICUJOw4Vx4AYJvSS-8CSVIZYlxsHBqrW31RlnkhM
Uber,https://media.licdn.com/dms/image/v2/C4D0BAQFiYnR1Mbtxdg/company-logo_100_100/company-logo_100_100/0/1630552741617/uber_com_logo?e=1737590400&v=beta&t=ovKsiASJ-XZ-FLQI_KGj6cnb7Q7SChnipxyfcSBOnJA
Entrepreneur Media,https://media.licdn.com/dms/image/v2/D4E0BAQE4UgAD7r0UpA/company-logo_100_100/company-logo_100_100/0/1705612322595/entrepreneur_media_logo?e=1737590400&v=beta&t=3jmqjXXTNBOwsBR0mWi92Cr785RxwKpeM_U-7X0_L4A
SLB,https://media.licdn.com/dms/image/v2/D560BAQFwhnoORL25KA/company-logo_100_100/company-logo_100_100/0/1666604496648/slbdigital_logo?e=1737590400&v=beta&t=unkBtzJ8q2AmNa_IFnIu85TJaNB95zqw9gYr_pcrsC8
"Insider, Inc.",https://media.licdn.com/dms/image/v2/D4E0BAQERzBovkSLf0g/company-logo_100_100/company-logo_100_100/0/1725892514587/insider_inc_logo?e=1737590400&v=beta&t=PFSslm8ypdgyX7MizzDsJctqqvmxQ2YNiO1x59ygElc
CNN,https://media.licdn.com/dms/image/v2/C4D0BAQEHgYOkitwp1w/company-logo_100_100/company-logo_100_100/0/1631315246531?e=1737590400&v=beta&t=afTXLb1e_1FWPq2b_5IoGTF4Dntazt1PaeJs9TWX1yQ
CNBC,https://media.licdn.com/dms/image/v2/D4E0BAQGhTt03d9EW0w/company-logo_100_100/company-logo_100_100/0/1729250832732/cnbc_logo?e=1737590400&v=beta&t=nJbYmUi-njnX1yXoOyJcMYlLmMIH0e7lolgIkDVyTJM
TechCrunch,https://media.licdn.com/dms/image/v2/C560BAQEeAGfIE7wntw/company-logo_100_100/company-logo_100_100/0/1631309596840?e=1737590400&v=beta&t=yCC9C5VQmZXj_a2O-Wdl9525nqddCAdAzoPnh8FePvU
YouTube,https://media.licdn.com/dms/image/v2/C4D0BAQEfoRsyU4yUzg/company-logo_100_100/company-logo_100_100/0/1631053379845/youtube_logo?e=1737590400&v=beta&t=iSlXzIkyjcgZfGp0swBHMKvZ2wRCtZf-BMBNwzj1RNU
SAP,https://media.licdn.com/dms/image/v2/D560BAQGmwwo0aq4jVA/company-logo_100_100/company-logo_100_100/0/1723034255614/sap_logo?e=1737590400&v=beta&t=Wy7vNLHcq3-OrxhaOwqFwfd3hpYER-SXHTV5-3Qjxnk
TIME,https://media.licdn.com/dms/image/v2/C4E0BAQGOq0SlHwj8kg/company-logo_100_100/company-logo_100_100/0/1677855722638/time_logo?e=1737590400&v=beta&t=Qxk-m3jXnH4c32ijt9lcctvz8WT-Z9j4OVF2TyUVAzA
Red Hat,https://media.licdn.com/dms/image/v2/C4E0BAQEto-TydTTIfQ/company-logo_100_100/company-logo_100_100/0/1630583759577/red_hat_logo?e=1737590400&v=beta&t=gH80mLrcLULidBgJKXYPG5IuVUr7jvYWyHEdMg-q3-A
Interesting Engineering,https://media.licdn.com/dms/image/v2/C4E0BAQHN9kUtNX_kNw/company-logo_100_100/company-logo_100_100/0/1635165896390?e=1737590400&v=beta&t=BZ6JCrYMj5tk25OgKqwarrFvp5xwqaGb18FcEFe1qek
Gartner,https://media.licdn.com/dms/image/v2/C4D0BAQGyRzbB8_BYkg/company-logo_100_100/company-logo_100_100/0/1630549760241/gartner_logo?e=1737590400&v=beta&t=rzd1WnuKYnPaHNkKY3EgMHPCvQjVN1eBSY-LUm4hcWo
Workday,https://media.licdn.com/dms/image/v2/D560BAQEjMT_oDmDKgA/company-logo_100_100/company-logo_100_100/0/1719869088457?e=1737590400&v=beta&t=McDqcPLM7uMkxYZrrBOC9yHrAH8BKBx9pQ5f6tsiwGI
ServiceNow,https://media.licdn.com/dms/image/v2/C560BAQEuzVBzTq8wqA/company-logo_100_100/company-logo_100_100/0/1642492124118/servicenow_logo?e=1737590400&v=beta&t=aT6CZL5TU65xRtWujICe_NW9xDpfJlXfFBYFP5JZHog
Nielsen,https://media.licdn.com/dms/image/v2/C4E0BAQFKa_ObftR_8w/company-logo_100_100/company-logo_100_100/0/1634555714141/nielsen_logo?e=1737590400&v=beta&t=ZINR-EtXKO6P8DIRSFjc5AhXFUi1GhPR1LFf1wBv1nE
The Economist,https://media.licdn.com/dms/image/v2/D560BAQFZUavdWG_s-g/company-logo_100_100/company-logo_100_100/0/1729261218803/the_economist_logo?e=1737590400&v=beta&t=6y5vqmxYPru6ey2TxLsFhZcVIzriZzWWOsbYkgAGVgc
